Dataset,Run,Cohort,Subject,Condition,TimePoint,BioReplicate,Experiment,Batch,Channel,Fraction,Species,Disease,Tissue,Enzyme,Notes
MSV000096271,160311_DK_AUT01-DN02_Bladder_W6-32_8_DDA_1_400-650mz_msms32_standard.mzML,Bladder,Bladder,,160311,AUT01-DN02,DDA_1_400-650mz,W6-32,,msms32,,,Bladder,,
MSV000096271,160311_DK_AUT01-DN02_Bladder_W6-32_8_DDA_2_400-650mz_msms33_standard.mzML,Bladder,Bladder,,160311,AUT01-DN02,DDA_2_400-650mz,W6-32,,msms33,,,Bladder,,
MSV000096271,160311_DK_AUT01-DN02_Bladder_W6-32_8_DDA_3_400-650mz_msms34_standard.mzML,Bladder,Bladder,,160311,AUT01-DN02,DDA_3_400-650mz,W6-32,,msms34,,,Bladder,,
MSV000096271,160311_DK_AUT01-DN02_Brain_W6-32_8_DDA_1_400-650mz_msms14_standard.mzML,Brain,Brain,,160311,AUT01-DN02,DDA_1_400-650mz,W6-32,,msms14,,,Brain,,
MSV000096271,160311_DK_AUT01-DN02_Brain_W6-32_8_DDA_2_400-650mz_msms15_standard.mzML,Brain,Brain,,160311,AUT01-DN02,DDA_2_400-650mz,W6-32,,msms15,,,Brain,,
MSV000096271,160311_DK_AUT01-DN02_Brain_W6-32_8_DDA_3_400-650mz_msms16_standard.mzML,Brain,Brain,,160311,AUT01-DN02,DDA_3_400-650mz,W6-32,,msms16,,,Brain,,
MSV000096271,160311_DK_AUT01-DN02_Cerebellum_W6-32_8_DDA_1_400-650mz_msms44_standard.mzML,Cerebellum,Cerebellum,,160311,AUT01-DN02,DDA_1_400-650mz,W6-32,,msms44,,,Cerebellum,,
MSV000096271,160311_DK_AUT01-DN02_Cerebellum_W6-32_8_DDA_1_400-650mz_msms45_standard.mzML,Cerebellum,Cerebellum,,160311,AUT01-DN02,DDA_1_400-650mz,W6-32,,msms45,,,Cerebellum,,
MSV000096271,160311_DK_AUT01-DN02_Lung_W6-32_8_DDA_1_400-650mz_msms8_standard.mzML,Lung,Lung,,160311,AUT01-DN02,DDA_1_400-650mz,W6-32,,msms8,,,Lung,,
MSV000096271,160311_DK_AUT01-DN02_Lung_W6-32_8_DDA_2_400-650mz_msms9_standard.mzML,Lung,Lung,,160311,AUT01-DN02,DDA_2_400-650mz,W6-32,,msms9,,,Lung,,
MSV000096271,160311_DK_AUT01-DN02_Lung_W6-32_8_DDA_3_400-650mz_msms10_standard.mzML,Lung,Lung,,160311,AUT01-DN02,DDA_3_400-650mz,W6-32,,msms10,,,Lung,,
MSV000096271,160311_DK_AUT01-DN02_Myelon_W6-32_8_DDA_1_400-650mz_msms38_standard.mzML,Myelon,Myelon,,160311,AUT01-DN02,DDA_1_400-650mz,W6-32,,msms38,,,Myelon,,
MSV000096271,160311_DK_AUT01-DN02_Myelon_W6-32_8_DDA_2_400-650mz_msms39_standard.mzML,Myelon,Myelon,,160311,AUT01-DN02,DDA_2_400-650mz,W6-32,,msms39,,,Myelon,,
MSV000096271,160311_DK_AUT01-DN02_Myelon_W6-32_8_DDA_3_400-650mz_msms40_standard.mzML,Myelon,Myelon,,160311,AUT01-DN02,DDA_3_400-650mz,W6-32,,msms40,,,Myelon,,
MSV000096271,160311_DK_AUT01-DN02_SmallIntestine_W6-32_8_DDA_1_400-650mz_msms20_standard.mzML,SmallIntestine,SmallIntestine,,160311,AUT01-DN02,DDA_1_400-650mz,W6-32,,msms20,,,SmallIntestine,,
MSV000096271,160311_DK_AUT01-DN02_SmallIntestine_W6-32_8_DDA_2_400-650mz_msms21_standard.mzML,SmallIntestine,SmallIntestine,,160311,AUT01-DN02,DDA_2_400-650mz,W6-32,,msms21,,,SmallIntestine,,
MSV000096271,160311_DK_AUT01-DN02_SmallIntestine_W6-32_8_DDA_3_400-650mz_msms22_standard.mzML,SmallIntestine,SmallIntestine,,160311,AUT01-DN02,DDA_3_400-650mz,W6-32,,msms22,,,SmallIntestine,,
MSV000096271,160311_DK_AUT01-DN02_Thyroid_W6-32_8_DDA_1_400-650mz_msms26_standard.mzML,Thyroid,Thyroid,,160311,AUT01-DN02,DDA_1_400-650mz,W6-32,,msms26,,,Thyroid,,
MSV000096271,160311_DK_AUT01-DN02_Thyroid_W6-32_8_DDA_2_400-650mz_msms27_standard.mzML,Thyroid,Thyroid,,160311,AUT01-DN02,DDA_2_400-650mz,W6-32,,msms27,,,Thyroid,,
MSV000096271,160311_DK_AUT01-DN02_Thyroid_W6-32_8_DDA_3_400-650mz_msms28_standard.mzML,Thyroid,Thyroid,,160311,AUT01-DN02,DDA_3_400-650mz,W6-32,,msms28,,,Thyroid,,
MSV000096271,160316_DK_AUT01-DN02_Bladder_Tue39L243_8_DDA_1_400-1000mz_msms25_standard.mzML,Bladder,Bladder,,160316,AUT01-DN02,DDA_1_400-1000mz,Tue39L243,,msms25,,,Bladder,,
MSV000096271,160316_DK_AUT01-DN02_Bladder_Tue39L243_8_DDA_2_400-1000mz_msms26_standard.mzML,Bladder,Bladder,,160316,AUT01-DN02,DDA_2_400-1000mz,Tue39L243,,msms26,,,Bladder,,
