Dataset,Run,Cohort,Subject,Condition,TimePoint,BioReplicate,Experiment,Batch,Channel,Fraction,Species,Disease,Tissue,Enzyme,Notes
MSV000082184,20170402_QEh1_LC1_FaMaChCh_SA_CD165_10M_1_R1.mzML,,,,20170402,CD165,1_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170402_QEh1_LC1_FaMaChCh_SA_CD165_10M_2_R1.mzML,,,,20170402,CD165,2_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170402_QEh1_LC1_FaMaChCh_SA_CD165_10M_3_R1.mzML,,,,20170402,CD165,3_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170402_QEh1_LC1_FaMaChCh_SA_CD165_30M_1_R1.mzML,,,,20170402,CD165,1_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170402_QEh1_LC1_FaMaChCh_SA_CD165_30M_2_R1.mzML,,,,20170402,CD165,2_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170402_QEh1_LC1_FaMaChCh_SA_CD165_30M_3_R1.mzML,,,,20170402,CD165,3_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170402_QEh1_LC1_FaMaChCh_SA_CD165_50M_1_R1.mzML,,,,20170402,CD165,1_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170402_QEh1_LC1_FaMaChCh_SA_CD165_50M_2_R1.mzML,,,,20170402,CD165,2_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170402_QEh1_LC1_FaMaChCh_SA_CD165_50M_3_R1.mzML,,,,20170402,CD165,3_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170403_QEh1_LC1_FaMaChCh_SA_HLApII_CD165_10M_1_R1.mzML,HLApII,,,20170403,CD165,1_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170403_QEh1_LC1_FaMaChCh_SA_HLApII_CD165_10M_2_R1_170404100220.mzML,HLApII,,,20170403,CD165,2_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170403_QEh1_LC1_FaMaChCh_SA_HLApII_CD165_10M_3_R1.mzML,HLApII,,,20170403,CD165,3_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170403_QEh1_LC1_FaMaChCh_SA_HLApII_CD165_30M_1_R1.mzML,HLApII,,,20170403,CD165,1_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170403_QEh1_LC1_FaMaChCh_SA_HLApII_CD165_30M_2_R1.mzML,HLApII,,,20170403,CD165,2_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170403_QEh1_LC1_FaMaChCh_SA_HLApII_CD165_30M_3_R1.mzML,HLApII,,,20170403,CD165,3_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170405_QEh1_LC1_FaMaChCh_SA_HLApII_CD165_70M_1_R1.mzML,HLApII,,,20170405,CD165,1_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170405_QEh1_LC1_FaMaChCh_SA_HLApII_CD165_70M_2_R1.mzML,HLApII,,,20170405,CD165,2_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170405_QEh1_LC1_FaMaChCh_SA_HLApII_CD165_70M_3_R1.mzML,HLApII,,,20170405,CD165,3_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170608_QEh1_LC1_ChCh_FAMA_SA_HLAIp_UWB1289_IFNg_1_R2.mzML,HLAlp,,,20170608,UWB1289,1_R2,QEh1_LC1,,,Human,,,,
MSV000082184,20170608_QEh1_LC1_ChCh_FAMA_SA_HLAIp_UWB1289_IFNg_2_R2.mzML,HLAIp,,,20170608,UWB1289,2_R2,QEh1_LC1,,,Human,,,,
MSV000082184,20170608_QEh1_LC1_ChCh_FAMA_SA_HLAIp_UWB1289_IFNg_3_R2.mzML,HLAIp,,,20170608,UWB1289,3_R2,QEh1_LC1,,,Human,,,,
MSV000082184,20170608_QEh1_LC1_ChCh_FAMA_SA_HLAIp_UWB1289_IFNg_4_R2.mzML,HLAIp,,,20170608,UWB1289,4_R2,QEh1_LC1,,,Human,,,,
MSV000082184,20170608_QEh1_LC1_ChCh_FAMA_SA_HLAIp_UWB1289_ctrl_1_R2.mzML,HLAIp,,,20170608,UWB1289,1_R2,QEh1_LC1,,,Human,,,,
MSV000082184,20170608_QEh1_LC1_ChCh_FAMA_SA_HLAIp_UWB1289_ctrl_2_R2.mzML,HLAIp,,,20170608,UWB1289,2_R2,QEh1_LC1,,,Human,,,,
MSV000082184,20170608_QEh1_LC1_ChCh_FAMA_SA_HLAIp_UWB1289_ctrl_3_R2.mzML,HLAIp,,,20170608,UWB1289,3_R2,QEh1_LC1,,,Human,,,,
MSV000082184,20170608_QEh1_LC1_ChCh_FAMA_SA_HLAIp_UWB1289_ctrl_4_R2.mzML,HLAIp,,,20170608,UWB1289,4_R2,QEh1_LC1,,,Human,,,,
MSV000082184,20170609_QEh1_LC1_ChCh_FAMA_SA_HLAIIp_JY_090517_3_R1.mzML,HLAIIp,,,20170609,JY,3_R1,QEh1_LC1,,,Human,,,,
MSV000082184,20170609_QEh1_LC1_ChCh_FAMA_SA_HLAIIp_JY_160517_1_R1.mzML,HLAIIp,,,20170609,JY,1_R1,QEh1_LC1,,,Human,,,,
