Dataset,Run,Cohort,Subject,Condition,TimePoint,BioReplicate,Experiment,Batch,Channel,Fraction,Species,Disease,Tissue,Enzyme,Notes
MSV000088387,100_oocytes_mature_immature/130403SL_Klun_sample1_longer_immature.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,100_oocytes_mature_immature/130403SL_Klun_sample2_longer_mature.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,100_oocytes_mature_immature/130724SL_Klun_1_oocytes-mature1.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,100_oocytes_mature_immature/130724SL_Klun_1_oocytes-mature2.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,100_oocytes_mature_immature/130724SL_Klun_3_oocytes-immature1.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,100_oocytes_mature_immature/130724SL_Klun_3_oocytes-immature2.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,10_oocytes_dimethyl_labeling/141030SL_Klun_GV-MII_1-10-Ooc.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,10_oocytes_dimethyl_labeling/141030SL_Klun_GV-MII_2-10-Ooc.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,10_oocytes_dimethyl_labeling/141030SL_Klun_GV-MII_3-10-Ooc.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,secretome/130724SL_Klun_2_secretome-mature.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,secretome/130724SL_Klun_4_secretome-immature.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,secretome/130724SL_Klun_5_control-medium.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,single_oocytes_mature_immature/140818SL_GV3_single_oocyte.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,single_oocytes_mature_immature/140818SL_GV4_single_oocyte.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,single_oocytes_mature_immature/140818SL_GV5_single_oocyte.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,single_oocytes_mature_immature/140818SL_MII3_single_oocyte.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,single_oocytes_mature_immature/140818SL_MII4_single_oocyte.mzML,,,,,,,,,,Homo Sapiens,,,,
MSV000088387,single_oocytes_mature_immature/140818SL_MII5_single_oocyte.mzML,,,,,,,,,,Homo Sapiens,,,,
