Depletion,Labelfree_KAc,H20130306_PM,SEPTM_LF_IMAC-Kac_Exp4-1
Depletion,Labelfree_KAc,H20130306_PM,SEPTM_LF_IMAC-Kac_Exp4-2
Depletion,Labelfree_KAc,H20130306_PM,SEPTM_LF_IMAC-Kac_Exp4-3
Depletion,Labelfree_KAc,H20130306_PM,SEPTM_LF_KGG-Kac_Exp5-1
Depletion,Labelfree_KAc,H20130306_PM,SEPTM_LF_KGG-Kac_Exp5-2
Depletion,Labelfree_KAc,H20130306_PM,SEPTM_LF_KGG-Kac_Exp5-3
Depletion,Labelfree_KAc,H20130306_PM,SEPTM_LF_Kac_Exp2-1
Depletion,Labelfree_KAc,H20130306_PM,SEPTM_LF_Kac_Exp2-2
Depletion,Labelfree_KAc,H20130306_PM,SEPTM_LF_Kac_Exp2-3
Depletion,Labelfree_KGG,H20130306_PM,SEPTM_LF_IMAC-KGG-Exp3-1
Depletion,Labelfree_KGG,H20130306_PM,SEPTM_LF_IMAC-KGG-Exp3-2
Depletion,Labelfree_KGG,H20130306_PM,SEPTM_LF_IMAC-KGG-Exp3-3
Depletion,Labelfree_KGG,H20130306_PM,SEPTM_LF_KGG_Exp1-1
Depletion,Labelfree_KGG,H20130306_PM,SEPTM_LF_KGG_Exp1-2
Depletion,Labelfree_KGG,H20130306_PM,SEPTM_LF_KGG_Exp1-3
Depletion,SILAC_KAc,H20130306_PM,SEPTM_SILAC_L-IMAC-Kac_H-Kac-Exp2-2
Depletion,SILAC_KAc,H20130306_PM,SEPTM_SILAC_L-Kac_H-IMAC-Kac-Exp2-1
Depletion,SILAC_KGG,H20130306_PM,SEPTM_SILAC_L-IMAC-KGG_H-KGG-Exp1-2
Depletion,SILAC_KGG,H20130306_PM,SEPTM_SILAC_L-KGG_H-IMAC-KGG-Exp1-1
High-coverage,KAc,H20120703_JQ,SPARC_Exp1Lb_KAcfxn01
High-coverage,KAc,H20120703_JQ,SPARC_Exp1Lb_KAcfxn02
High-coverage,KAc,H20120703_JQ,SPARC_Exp1Lb_KAcfxn03
High-coverage,KAc,H20120703_JQ,SPARC_Exp1Lb_KAcfxn04
High-coverage,KAc,H20120703_JQ,SPARC_Exp1Lb_KAcfxn05
High-coverage,KAc,H20120703_JQ,SPARC_Exp1Lb_KAcfxn06
High-coverage,KAc,H20120703_JQ,SPARC_Exp1Lb_KAcfxnA
High-coverage,KAc,H20120703_JQ,SPARC_Exp2L_KAcfxn01
High-coverage,KAc,H20120703_JQ,SPARC_Exp2L_KAcfxn02
High-coverage,KAc,H20120703_JQ,SPARC_Exp2L_KAcfxn03
High-coverage,KAc,H20120703_JQ,SPARC_Exp2L_KAcfxn04
High-coverage,KAc,H20120703_JQ,SPARC_Exp2L_KAcfxn05
High-coverage,KAc,H20120703_JQ,SPARC_Exp2L_KAcfxn06
High-coverage,KAc,H20120703_JQ,SPARC_Exp2L_KAcfxnA
High-coverage,KAc,H20120706_JQ,SPARC_Exp3L_KAcfxn01
High-coverage,KAc,H20120706_JQ,SPARC_Exp3L_KAcfxn02
High-coverage,KAc,H20120706_JQ,SPARC_Exp3L_KAcfxn03
High-coverage,KAc,H20120706_JQ,SPARC_Exp3L_KAcfxn04
High-coverage,KAc,H20120706_JQ,SPARC_Exp3L_KAcfxn05
High-coverage,KAc,H20120706_JQ,SPARC_Exp3L_KAcfxn06
High-coverage,KAc,H20120706_JQ,SPARC_Exp3L_KAcfxnA
High-coverage,KGG,H20120703_JQ,SPARC_Exp1Lb_KGGfxn01
High-coverage,KGG,H20120703_JQ,SPARC_Exp1Lb_KGGfxn02
High-coverage,KGG,H20120703_JQ,SPARC_Exp1Lb_KGGfxn03
High-coverage,KGG,H20120703_JQ,SPARC_Exp1Lb_KGGfxn04
High-coverage,KGG,H20120703_JQ,SPARC_Exp1Lb_KGGfxn05
High-coverage,KGG,H20120703_JQ,SPARC_Exp1Lb_KGGfxn06
High-coverage,KGG,H20120703_JQ,SPARC_Exp1Lb_KGGfxnA
High-coverage,KGG,H20120703_JQ,SPARC_Exp2L_KGGfxn01
High-coverage,KGG,H20120703_JQ,SPARC_Exp2L_KGGfxn02
High-coverage,KGG,H20120703_JQ,SPARC_Exp2L_KGGfxn03
High-coverage,KGG,H20120703_JQ,SPARC_Exp2L_KGGfxn04
High-coverage,KGG,H20120703_JQ,SPARC_Exp2L_KGGfxn05
High-coverage,KGG,H20120703_JQ,SPARC_Exp2L_KGGfxn06
High-coverage,KGG,H20120703_JQ,SPARC_Exp2L_KGGfxnA
High-coverage,KGG,H20120706_JQ,SPARC_Exp3L_KGGfxn01
High-coverage,KGG,H20120706_JQ,SPARC_Exp3L_KGGfxn02
High-coverage,KGG,H20120706_JQ,SPARC_Exp3L_KGGfxn03
High-coverage,KGG,H20120706_JQ,SPARC_Exp3L_KGGfxn04
High-coverage,KGG,H20120706_JQ,SPARC_Exp3L_KGGfxn05
High-coverage,KGG,H20120706_JQ,SPARC_Exp3L_KGGfxn06
High-coverage,KGG,H20120706_JQ,SPARC_Exp3L_KGGfxnA
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn01
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn02
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn03
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn04
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn05
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn06
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn07
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn08
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn09
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn10
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn11
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn12
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn13
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn14
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn15
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn16
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn17
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn18
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn19
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn20
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn21
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn22
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn23
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxn24
High-coverage,Proteome,H20120611_JQ,SPARC_Exp2L_protfxnA
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn01
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn02
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn03
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn04
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn05
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn06
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn07
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn08
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn09
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn10
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn11
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn12
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn13
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn14
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn15
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn16
High-coverage,Proteome,H20120615_JQ,SPARC_Exp1Lb_protfxn17
