Dataset,Run,Cohort,Subject,Condition,TimePoint,BioReplicate,Experiment,Batch,Channel,Fraction,Species,Disease,Tissue,Enzyme,Notes
MSV000080527,M20150723_CRH_HLA_A101_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20150723_CRH_HLA_A101_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20150824_JGA_HLA_A101_biorep1_5e7ceq_AcOHmobilephase_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20150824_JGA_HLA_A101_biorep1_5e7ceq_AcOHmobilephase_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A0101_1e8ceq_biorep1_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A0101_1e8ceq_biorep1_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A0101_1e8ceq_biorep2_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A0101_1e8ceq_biorep2_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A0101_2e8ceq_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A0101_2e8ceq_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20160113_JGA_HLA_A0201_5e7ceq_oncolumn_biorep1_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20160113_JGA_HLA_A0201_5e7ceq_oncolumn_biorep1_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20160113_JGA_HLA_A0201_5e7ceq_oncolumn_biorep2_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20160113_JGA_HLA_A0201_5e7ceq_oncolumn_biorep2_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A3301_150millionceq_biorep1_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A3301_150millionceq_biorep2_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A3301_150millionceq_biorep2_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20151203_HLA_A3301_150millionceq_biorep1_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A0204_1e8ceq_biorep1_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A0204_1e8ceq_biorep1_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A0204_1e8ceq_biorep2_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A0204_1e8ceq_biorep2_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A0204_2e8ceq_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A0204_2e8ceq_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20150219_JGA_HLA_A0207_BB7pt2_thirdof1e8CEQ_dd12_QEplus_biorep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20150219_JGA_HLA_A0207_BB7pt2_thirdof1e8CEQ_dd12_QEplus_biorep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20150219_JGA_HLA_A0207_W632_thirdof1e8CEQ_dd12_QEplus_biorep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20150219_JGA_HLA_A0207_W632_thirdof1e8CEQ_dd12_QEplus_biorep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20160108_JGA_HLA_A0301_5e8ceq_oncolumn_biorep1_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20160108_JGA_HLA_A0301_5e8ceq_oncolumn_biorep2_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20160112_JGA_HLA_A0301_5e8ceq_oncolumn_biorep1_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20160112_JGA_HLA_A0301_5e8ceq_oncolumn_biorep2_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A2402_75millionceq_biorep1_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A2402_75millionceq_biorep2_techrep1.mzML,,,,,,,,,,,,,,
MSV000080527,M20151015_HLA_A2402_75millionceq_biorep2_techrep2.mzML,,,,,,,,,,,,,,
MSV000080527,M20151203_HLA_A2402_75millionceq_biorep1_techrep1.mzML,,,,,,,,,,,,,,
