Dataset,Run,Cohort,Subject,Condition,TimePoint,BioReplicate,Experiment,Batch,Channel,Fraction,Species,Disease,Tissue,Enzyme,Notes
MSV000084172,Alleles_ABCG_IAA/B1502_20171019/GN20171019/SK_HLA_B1502_R2_01_171019232053.mzML,,,,B1502_20171019,B1502,,,,R2_01,,,,,
MSV000084172,Alleles_ABCG_IAA/C0501_20170602/GN20170602/SK_HLA_C0501_R1_01.mzML,MEL 1,MEL 1,,C0501_20170602,C0501,cells,13240-002,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/C0501_20170602/GN20170602/SK_HLA_C0501_R1_02.mzML,MEL 1,MEL 1,,C0501_20170602,C0501,cells,13240-002,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/C0501_20170602/GN20170602/SK_HLA_C0501_R2_01.mzML,MEL 1,MEL 1,,C0501_20170602,C0501,cells,13240-002,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/C0501_20170602/GN20170602/SK_HLA_C0501_R2_02.mzML,MEL 1,MEL 1,,C0501_20170602,C0501,cells,13240-002,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/B3801_20171021/GN20171021/SK_HLA_B3801_R1_01.mzML,MEL 2,MEL 2,,B3801_20171021,B3801,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/B3801_20171021/GN20171021/SK_HLA_B3801_R1_02.mzML,MEL 2,MEL 2,,B3801_20171021,B3801,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/B3801_20171021/GN20171021/SK_HLA_B3801_R2_01.mzML,MEL 2,MEL 2,,B3801_20171021,B3801,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/B3801_20171021/GN20171021/SK_HLA_B3801_R2_02.mzML,MEL 2,MEL 2,,B3801_20171021,B3801,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/B5601_2017/GN20170628/SK_HLA_B5601_R1_01.mzML,MEL 2,MEL 2,,B5601_2017,B5601,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/B5601_2017/GN20170628/SK_HLA_B5601_R1_02.mzML,MEL 2,MEL 2,,B5601_2017,B5601,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/B5601_2017/GN20170628/SK_HLA_B5601_R2_01.mzML,MEL 2,MEL 2,,B5601_2017,B5601,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/B5601_2017/GN20170628/SK_HLA_B5601_R2_02.mzML,MEL 2,MEL 2,,B5601_2017,B5601,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/B5601_2017/GN20171019/SK_HLA_B5601_R1_01.mzML,MEL 2,MEL 2,,B5601_2017,B5601,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/B5601_2017/GN20171019/SK_HLA_B5601_R1_02.mzML,MEL 2,MEL 2,,B5601_2017,B5601,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/B5601_2017/GN20171019/SK_HLA_B5601_R2_01.mzML,MEL 2,MEL 2,,B5601_2017,B5601,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/B5601_2017/GN20171019/SK_HLA_B5601_R2_02.mzML,MEL 2,MEL 2,,B5601_2017,B5601,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/C0102_20170601/GN20170531/SK_HLA_C0102_R1_01.mzML,MEL 2,MEL 2,,C0102_20170601,C0102,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/C0102_20170601/GN20170531/SK_HLA_C0102_R1_02.mzML,MEL 2,MEL 2,,C0102_20170601,C0102,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/C0102_20170601/GN20170531/SK_HLA_C0102_R2_01.mzML,MEL 2,MEL 2,,C0102_20170601,C0102,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_ABCG_IAA/C0102_20170601/GN20170531/SK_HLA_C0102_R2_02.mzML,MEL 2,MEL 2,,C0102_20170601,C0102,cells,13240-005,,,,Melanoma,,,
MSV000084172,Alleles_BC_noIAA/B2705_20160410/MS20160409/CRH_HLA_B_2705_BioRep1_TechRep1.mzML,MEL 3,MEL 3,,B2705_20160410,B2705,cells,13240-006,,,,Melanoma,,,
MSV000084172,Alleles_BC_noIAA/B2705_20160410/MS20160409/CRH_HLA_B_2705_BioRep1_TechRep2.mzML,MEL 3,MEL 3,,B2705_20160410,B2705,cells,13240-006,,,,Melanoma,,,
