20131115,EXQ2,JaRi,SA,Do132,Memory,Free,Act,01.mzML
20131115,EXQ2,JaRi,SA,Do132,Memory,Free,Act,02.mzML
20131115,EXQ2,JaRi,SA,Do132,Memory,Free,Act,03.mzML
20131115,EXQ2,JaRi,SA,Do132,Memory,Free,CTL,01.mzML
20131115,EXQ2,JaRi,SA,Do132,Memory,Free,CTL,02.mzML
20131115,EXQ2,JaRi,SA,Do132,Memory,Free,CTL,03.mzML
20131115,EXQ2,JaRi,SA,Do133,Memory,Free,Act,01.mzML
20131115,EXQ2,JaRi,SA,Do133,Memory,Free,Act,02.mzML
20131115,EXQ2,JaRi,SA,Do133,Memory,Free,Act,03.mzML
20131115,EXQ2,JaRi,SA,Do133,Memory,Free,CTL,01.mzML
20131115,EXQ2,JaRi,SA,Do133,Memory,Free,CTL,02.mzML
20131115,EXQ2,JaRi,SA,Do133,Memory,Free,CTL,03.mzML
20150112,EXQ00,JaRi,SA,Sups,TCD4emra,n,01.mzML,
20150112,EXQ00,JaRi,SA,Sups,TCD4emra,n,02.mzML,
20150112,EXQ00,JaRi,SA,Sups,TCD4emra,n,03.mzML,
20150112,EXQ00,JaRi,SA,Sups,TCD4emra,p,01.mzML,
20150112,EXQ00,JaRi,SA,Sups,TCD4emra,p,02.mzML,
20150112,EXQ00,JaRi,SA,Sups,TCD4naive,n,02.mzML,
20150112,EXQ00,JaRi,SA,Sups,TCD4naive,p,01.mzML,
20150112,EXQ00,JaRi,SA,Sups,mDC,n,01.mzML,
20150112,EXQ00,JaRi,SA,Sups,mDC,n,02.mzML,
20150112,EXQ00,JaRi,SA,Sups,mDC,n,03.mzML,
20150112,EXQ00,JaRi,SA,Sups,mDC,n,04.mzML,
20150112,EXQ00,JaRi,SA,Sups,mDC,p,01.mzML,
20150112,EXQ00,JaRi,SA,Sups,mDC,p,02.mzML,
20150112,EXQ00,JaRi,SA,Sups,mDC,p,03.mzML,
20150112,EXQ00,JaRi,SA,Sups,mDC,p,04.mzML,
20150112,EXQ00,JaRi,SA,Sups,mTregs,n,01.mzML,
20150112,EXQ00,JaRi,SA,Sups,mTregs,n,02.mzML,
20150112,EXQ00,JaRi,SA,Sups,mTregs,n,03.mzML,
20150112,EXQ00,JaRi,SA,Sups,mTregs,p,01.mzML,
20150112,EXQ00,JaRi,SA,Sups,mTregs,p,02.mzML,
20150112,EXQ00,JaRi,SA,Sups,mTregs,p,03.mzML,
20150112,EXQ00,JaRi,SA,Sups,nTregs,n,01.mzML,
20150112,EXQ00,JaRi,SA,Sups,nTregs,n,02.mzML,
20150112,EXQ00,JaRi,SA,Sups,nTregs,n,03.mzML,
20150112,EXQ00,JaRi,SA,Sups,nTregs,p,01.mzML,
20150112,EXQ00,JaRi,SA,Sups,nTregs,p,02.mzML,
20150112,EXQ00,JaRi,SA,Sups,nTregs,p,03.mzML,
20150112,EXQ00,JaRi,SA,Sups,pDC,n,01.mzML,
20150112,EXQ00,JaRi,SA,Sups,pDC,n,02.mzML,
20150112,EXQ00,JaRi,SA,Sups,pDC,n,03.mzML,
20150112,EXQ00,JaRi,SA,Sups,pDC,n,04.mzML,
20150112,EXQ00,JaRi,SA,Sups,pDC,p,01.mzML,
20150112,EXQ00,JaRi,SA,Sups,pDC,p,02.mzML,
20150112,EXQ00,JaRi,SA,Sups,pDC,p,03.mzML,
20150112,EXQ00,JaRi,SA,Sups,pDC,p,04.mzML,
20150817,QEp8,JaRi,SA,Sups,DCmyeloid,CTR,01.mzML,
20150817,QEp8,JaRi,SA,Sups,DCmyeloid,CTR,02.mzML,
20150817,QEp8,JaRi,SA,Sups,DCmyeloid,CTR,03.mzML,
20150817,QEp8,JaRi,SA,Sups,DCmyeloid,LPS,01.mzML,
20150817,QEp8,JaRi,SA,Sups,DCmyeloid,LPS,02.mzML,
20150817,QEp8,JaRi,SA,Sups,DCmyeloid,LPS,03.mzML,
20150817,QEp8,JaRi,SA,Sups,DCmyeloid,LTA,01.mzML,
